Name,Team,City,Position,Jersey,Height (ft),Weight (lbs),Draft Year,Draft Round,Draft Number,School,Birthday,Start Year,End Year,PTS,AST,REB
Don Barksdale,Celtics,Boston,Forward,17,6.6,200,Undrafted,Undrafted,Undrafted,UCLA,3/31/1923,1951,1954,11,2.1,8
Harrison Barnes,Kings,Sacramento,Forward,40,6.8,225,2012,1,7,North Carolina,5/30/1992,2012,Present,14.5,2.2,4.9
Harry Barnes,Rockets,San Diego,Forward,30,6.3,205,1968,4,37,Northeastern,7/25/1945,1968,1968,2,0.2,1.2
Jim Barnes,Celtics,Boston,Center,12,6.8,210,1964,1,1,Texas-El Paso,4/13/1941,1964,1970,8.8,0.8,6.5
Marvin Barnes,Clippers,San Diego,Forward,27,6.9,210,1974,1,2,Providence,7/27/1952,1976,1979,9.2,1.5,5.5
Matt Barnes,Clippers,Los Angeles,Forward,22,6.7,226,2002,2,45,UCLA,3/9/1980,2002,2016,8.2,1.8,4.6
Dick Barnett,Knicks,New York,Guard,12,6.4,190,1959,1,4,Tennessee State,10/2/1936,1959,1973,15.8,2.8,2.9
Jim Barnett,Warriors,Golden State,Guard,33,6.4,170,1966,1,8,Oregon,7/7/1944,1966,1976,11.7,3,3.1
John Barnhill,Hawks,St. Louis,Guard,11,6.1,180,1959,11,77,Tennessee State,3/20/1938,1962,1968,8.6,2.8,2.8
Norton Barnhill,SuperSonics,Seattle,Guard,10,6.4,205,1976,8,134,Washington State,7/15/1953,1976,1976,1,0.3,0.8
Leo Barnhorst,Olympians,Indianapolis,Forward,15-Aug,6.4,190,1949,2,,Notre Dame,5/11/1924,1949,1953,9.4,3.2,5.4
John Barr,Bombers,St. Louis,Forward,,6.3,205,Undrafted,Undrafted,Undrafted,Penn State,8/18/1918,1946,1946,5.1,0.9,
Mike Barr,Kings,Kansas City,Guard,34,6.3,180,1972,13,180,Duquesne,10/19/1950,1976,1976,3.9,2.4,1.8
Thomas Barr,Royals,Cincinnati,Guard,19,6.4,195,Undrafted,Undrafted,Undrafted,Duquesne,6/19/1944,1970,1970,2,0.9,0.6
Andre Barrett,,,,,,,Undrafted,Undrafted,Undrafted,Seton Hall,2/21/1982,2004,2007,3.3,2,1.1
Ernie Barrett,,,,,,,1951,1,7,Kansas State,8/27/1929,1953,2008,4.9,1.7,2.6
RJ Barrett,Knicks,New York,Forward-Guard,9,6.6,214,2019,1,3,Duke,6/14/2000,2019,Present,14.3,2.6,5
Earl Barron,Heat,Miami,Forward-Center,30,7,250,Undrafted,Undrafted,Undrafted,Memphis,8/14/1981,2005,2014,4.6,0.5,3.5
Dana Barros,Celtics,Boston,Guard,,5.11,165,1989,1,16,Boston College,4/13/1967,1989,2003,10.5,3.3,1.9
Brent Barry,SuperSonics,Seattle,Guard,17,6.7,210,1995,1,15,Oregon State,12/31/1971,1995,2008,9.3,3.2,3
Drew Barry,Hawks,Atlanta,Guard,10,6.5,191,1996,2,57,Georgia Tech,2/17/1973,1997,1999,2.2,1.9,1.1
Jon Barry,,,,,,,1992,1,21,Georgia Tech,7/25/1969,1992,2005,5.7,2.2,1.8
Rick Barry,Warriors,Golden State,Forward,24,6.7,205,1965,1,2,Miami (FL),3/28/1944,1965,1979,23.2,5.1,6.5
Ed Bartels,Capitols,Washington,Forward,,6.6,195,Undrafted,Undrafted,Undrafted,North Carolina State,10/8/1925,1949,1950,4.2,1,4.9
Vic Bartolome,Warriors,Golden State,Center,20,7,230,1970,6,87,Oregon State,9/29/1948,1971,1971,0.9,0.1,1.6
Will Barton,Nuggets,Denver,Guard,5,6.5,181,2012,2,40,Memphis,1/6/1991,2012,Present,15.1,3.7,6.3
Eddie Basden,Bulls,Chicago,Guard,13,6.5,215,Undrafted,Undrafted,Undrafted,North Carolina-Charlotte,2/15/1983,2005,2005,2.1,0.4,1.5
Jerry Baskerville,76ers,Philadelphia,Forward,44,6.7,190,Undrafted,Undrafted,Undrafted,Temple,11/10/1951,1975,1975,1.2,0.1,1.3
Brandon Bass,Celtics,Boston,Forward,30,6.8,250,2005,2,33,Louisiana State,4/30/1985,2005,2016,8.7,0.8,4.5
Tim Bassett,Nets,New Jersey,Forward,21,6.8,225,1973,7,106,Georgia,4/1/1951,1976,1979,5.9,1.2,6.4
Maceo Baston,Pacers,Indiana,Forward,9,6.1,230,1998,2,58,Michigan,5/29/1976,2002,2008,2.7,0.2,1.7
Mengke Bateer,,,,,,,Undrafted,Undrafted,Undrafted,China,11/20/1975,2001,2003,3.4,0.6,2.5
Billyray Bates,Trail Blazers,Portland,Guard,35,6.4,210,1978,3,47,Kentucky State,5/31/1956,1979,1982,11.7,1.9,1.7
Keita Bates-Diop,Nuggets,Denver,Forward,6,6.8,229,2018,2,48,Ohio State,1/23/1996,2018,Present,6.5,0.7,2.9
Esteban Batista,Hawks,Atlanta,Forward-Center,11,6.1,268,Undrafted,Undrafted,Undrafted,Uruguay,9/2/1983,2005,2006,1.7,0.2,2.5
Mike Batiste,,,,,,,Undrafted,Undrafted,Undrafted,Arizona State,11/21/1977,2002,2007,6.4,0.7,3.4
Tony Battie,Celtics,Boston,Center,4,6.1,240,1997,1,5,Texas Tech,2/11/1976,1997,2011,6.1,0.6,5.1
Shane Battier,Grizzlies,Memphis,Forward,31,6.8,220,2001,1,6,Duke,9/9/1978,2001,2013,8.6,1.8,4.2
John Battle,Hawks,Atlanta,Guard,10,6.2,175,1985,4,84,Rutgers,11/9/1962,1985,1994,8.7,2.1,1.3
Kenny Battle,Suns,Phoenix,Guard,8,6.6,210,1989,1,27,Illinois,10/10/1964,1989,1992,4.7,0.8,2.4
Dave Batton,Bullets,Washington,Center,45,6.1,240,1978,3,62,Notre Dame,3/26/1956,1982,1983,3.2,0.6,2.1
Nicolas Batum,Hornets,Charlotte,Guard-Forward,5,6.9,230,2008,1,25, ,12/14/1988,2008,Present,3.6,3,4.5
Johnny Baum,Bulls,Chicago,Forward,14,6.5,200,1969,2,23,Temple,6/17/1946,1969,1970,4.5,0.5,2
Frankie Baumholtz,Rebels,Cleveland,Guard,,5.1,170,Undrafted,Undrafted,Undrafted,Ohio,10/7/1918,1946,1946,14,1.2,
Lonny Baxter,Bulls,Chicago,Forward,35,6.8,260,2002,2,43,Maryland,1/27/1979,2002,2005,3.9,0.2,2.9
Jerryd Bayless,Timberwolves,Minnesota,Guard,8,6.3,200,2008,1,11,Arizona,8/20/1988,2008,2018,8.4,2.9,2.1
Elgin Baylor,Lakers,Los Angeles,Forward,22,6.5,225,1958,1,1,Seattle,9/16/1934,1958,1971,27.4,4.3,13.5
Aron Baynes,Suns,Phoenix,Center-Forward,46,6.1,260,Undrafted,Undrafted,Undrafted,Washington State,12/9/1986,2012,Present,11.5,1.6,5.6
Sergei Bazarevich,Hawks,Atlanta,Guard,5,6.2,168,Undrafted,Undrafted,Undrafted,,3/15/1965,1994,1994,3,1.4,0.7
Kent Bazemore,Kings,Sacramento,Guard-Forward,26,6.4,195,Undrafted,Undrafted,Undrafted,Old Dominion,7/1/1989,2012,Present,8.8,1.4,4.3
Darius Bazley,Thunder,Oklahoma City,Forward-Guard,7,6.8,208,2019,1,23, ,6/12/2000,2019,Present,5.6,0.7,4
Ed Beach,Blackhawks,Tri-Cities,Forward, ,6.3,200,1950,5,,West Virginia,1/25/1929,1950,1950,1.8,0.3,2.1
Bradley Beal,Wizards,Washington,Guard,3,6.3,207,2012,1,3,Florida,6/28/1993,2012,Present,30.5,6.1,4.2
Butch Beard,Knicks,New York,Guard,9,6.3,185,1969,1,10,Louisville,5/4/1947,1969,1978,9.3,3.6,3.4
Ralph Beard,Olympians,Indianapolis,Guard,,5.1,175,1949,2,,Kentucky,12/2/1927,1949,1950,15.9,4.4,3.8
Jerome Beasley,Heat,Miami,Forward,24,6.9,237,2003,2,33,North Dakota,5/17/1980,2003,2003,1,0,0.5
Malik Beasley,Timberwolves,Minnesota,Guard,5,6.4,187,2016,1,19,Florida State,11/26/1996,2016,Present,11.2,1.4,2.7
Michael Beasley,,,,,,,2008,1,2,Kansas State,1/9/1989,2008,2018,12.4,1.3,4.7
Zelmo Beaty,Hawks,Atlanta,Center,31,6.9,225,1962,1,3,Prairie View A&M,10/25/1939,1962,1974,16,1.5,10.4
Rodrigue Beaubois,Mavericks,Dallas,Guard,3,6.2,185,2009,1,25,,2/24/1988,2009,2012,7.1,2.1,1.9
Byron Beck,Nuggets,Denver,Center,40,6.9,225,1967,2,15,Denver,1/25/1945,1976,1976,4.7,0.6,1.8
Corey Beck,Hornets,Charlotte,Guard,15,6.3,200,Undrafted,Undrafted,Undrafted,Arkansas,5/27/1971,1995,1998,2.7,1.4,1.4
Ernie Beck,Warriors,Philadelphia,Guard,12,6.4,190,1953,,,Pennsylvania,12/11/1931,1953,1960,6.3,1.8,3.2
Moe Becker,Falcons,Detroit,Guard,,6.1,185,Undrafted,Undrafted,Undrafted,Duquesne,2/24/1917,1946,1946,3.8,0.7,
William Bedford,Pistons,Detroit,Center,0,7,225,1986,1,6,Memphis,12/14/1963,1986,1992,4.1,0.5,2.4
Hank Beenders,Steamrollers,Providence,Center,6,6.5,185,Undrafted,Undrafted,Undrafted,Long Island-Brooklyn,6/2/1916,1946,1948,8.4,0.5,
Ron Behagen,Kings,Kansas City,Forward,12,6.9,185,1973,1,7,Minnesota,1/14/1951,1973,1979,10.3,1.6,7
Elmer Behnke,Hawks,Milwaukee,Center, ,6.7,210,1951,4,37,Bradley,2/3/1929,1951,1951,4,1,4.3
Marco Belinelli,Spurs,San Antonio,Guard,18,6.5,220,2007,1,18, ,3/25/1986,2007,Present,6.3,1.2,1.7
Charlie Bell,Bucks,Milwaukee,Guard,34,6.3,200,Undrafted,Undrafted,Undrafted,Michigan State,3/12/1979,2001,2010,8.5,2.3,2.2
Dennis Bell,Knicks,New York,Forward,46,6.5,185,1973,5,83,Drake,6/2/1951,1973,1975,2.8,0.4,1.9
Jordan Bell,Cavaliers,Cleveland,Forward,5,6.8,216,2017,2,38,Oregon,1/7/1995,2017,Present,3.2,0.6,2.8
Raja Bell,Suns,Phoenix,Guard,19,6.5,210,Undrafted,Undrafted,Undrafted,Florida International,9/19/1976,2000,2011,9.9,1.7,2.8
Troy Bell,Grizzlies,Memphis,Guard,3,6.1,180,2003,1,16,Boston College,11/10/1980,2003,2003,1.8,0.7,0.7
William Bell,Knicks,New York,Guard,15,6,180,Undrafted,Undrafted,Undrafted,North Carolina State,9/13/1932,1959,1960,5.1,1.6,2.6
Walt Bellamy,Hawks,Atlanta,Center,8,6.1,225,1961,1,1,Indiana,7/24/1939,1961,1974,20.1,2.4,13.7
DeAndre' Bembry,Hawks,Atlanta,Guard-Forward,95,6.5,210,2016,1,21,St. Joseph's (PA),7/4/1994,2016,Present,5.8,1.9,3.5
Irv Bemoras,Hawks,St. Louis,Forward,26,6.3,185,1953,,,Illinois,11/18/1930,1953,1956,6.3,1,2.6
Leon Benbow,Bulls,Chicago,Guard,5,6.4,185,1974,2,27,Jacksonville,7/23/1950,1974,1975,5.5,1.6,1.9
Dragan Bender,,,,,,,2016,1,4, ,11/17/1997,2016,Present,6.7,1.8,4.6
Jonathan Bender,Pacers,Indiana,Forward,9,7,230,1999,1,5,Picayune Memorial,1/30/1981,1999,2009,5.5,0.6,2.2
Jerrelle Benimon,,,,,,,Undrafted,Undrafted,Undrafted,,8/1/1991,2014,2014,0,0,1.5
Benoit Benjamin,,,,,,,1985,1,3,Creighton,11/22/1964,1985,1999,11.4,1.3,7.5
Corey Benjamin,,,,,,,1998,1,28,Oregon State,2/24/1978,1998,2002,5.5,0.9,1.7
Anthony Bennett,,,,,,,2013,1,1,UNLV,3/14/1993,2013,2016,4.4,0.5,3.1
Elmer Bennett,,,,,,,1992,2,38,Notre Dame,2/13/1970,1994,1996,2.3,1,0.5
Mario Bennett,Lakers,Los Angeles,Center-Forward,24,6.9,235,1995,1,27,Arizona State,8/1/1973,1995,2002,4,0.4,2.7
Mel Bennett,Pacers,Indiana,Forward,52,6.7,200,Undrafted,Undrafted,Undrafted,Pittsburgh,1/4/1955,1976,1981,3.9,0.8,3.3
Tony Bennett,Hornets,Charlotte,Guard,25,6,175,1992,2,35,Wisconsin-Green Bay,6/1/1969,1992,1994,3.5,2,1
Winston Bennett,Cavaliers,Cleveland,Guard,30,6.7,210,1988,3,64,Kentucky,2/9/1965,1989,1991,4.8,0.9,3
David Benoit,Jazz,Utah,Forward,21,6.8,220,Undrafted,Undrafted,Undrafted,Alabama,5/9/1968,1991,2000,7,0.6,4
Keith Benson,,,,,,,2011,2,48,Oakland,8/13/1988,2011,2011,0,0,1
Kent Benson,Pistons,Detroit,Center,54,6.1,235,1977,1,1,Indiana,12/27/1954,1977,1987,9.1,1.8,5.7
Ben Bentil,,,,,,,2016,2,51,Providence,3/29/1995,2016,2016,0,0,0.7
Gene Berce,Blackhawks,Tri-Cities,Guard, ,5.11,175,1948,,,Marquette,11/22/1926,1949,1949,3.3,0.7,
Gary Bergen,Knicks,New York,Center,18,6.8,210,1956,,,Utah,7/16/1932,1956,1956,1.3,0.2,1.3
Ricky Berry,Kings,Sacramento,Forward,34,6.8,205,1988,1,18,San Jose State,10/6/1964,1988,1988,11,1.3,3.1
Walter Berry,Spurs,San Antonio,Forward,6,6.8,215,1986,1,14,St. John's (NY),5/14/1964,1986,1988,14.1,1.4,4.7
Dairis Bertans,Pelicans,New Orleans,Guard,9,6.4,200,Undrafted,Undrafted,Undrafted, ,9/9/1989,2018,2018,2.8,0.8,0.8
Davis Bertans,Wizards,Washington,Forward,42,6.1,225,2011,2,42, ,11/12/1992,2016,Present,15.4,1.7,4.5
Del Beshore,Bulls,Chicago,Guard,1,5.11,165,Undrafted,Undrafted,Undrafted,California (PA),11/29/1956,1978,1979,3.5,2,0.9
Travis Best,Pacers,Indiana,Guard,6,5.11,182,1995,1,23,Georgia Tech,7/12/1972,1995,2004,7.6,3.5,1.8
Patrick Beverley,Clippers,LA,Guard,21,6.1,180,2009,2,42,Arkansas,7/12/1988,2012,Present,7.9,3.6,5.2
Sim Bhullar,,,,,,,Undrafted,Undrafted,Undrafted,New Mexico State,12/2/1992,2014,2014,0.7,0.3,0.3
Al Bianchi,76ers,Philadelphia,Guard,24,6.3,185,1954,2,18,Bowling Green,3/26/1932,1956,1965,8.1,2.2,2.5
Hank Biasatti,Huskies,Toronto,Guard,,5.11,175,1947,,,Long Island-Brooklyn,1/14/1922,1946,1946,1,0,
Henry Bibby,76ers,Philadelphia,Guard,15-Oct,6.1,185,1972,4,58,California-Los Angeles,11/24/1949,1972,1980,8.6,3.3,2.3
Mike Bibby,Kings,Sacramento,Guard,20,6.2,195,1998,1,2,Arizona,5/13/1978,1998,2011,14.7,5.5,3.1
Ed Biedenbach,Suns,Phoenix,Guard,12,6.1,175,1968,4,45,North Carolina State,8/12/1945,1968,1968,0.6,0.4,0.3
Andris Biedrins,,,,,,,2004,1,11,,4/2/1986,2004,2013,6.3,0.9,7
Don Bielke,Pistons,Ft. Wayne Zollner,Center,18,6.7,240,1954,8,67,Valparaiso,1/1/1933,1955,1955,2,0.1,1.3
Bob Bigelow,Kings,Kansas City,Forward,32,6.7,215,1975,1,13,Pennsylvania,12/26/1953,1975,1978,2.5,0.4,1.2
Chauncey Billups,Pistons,Detroit,Guard,1,6.3,210,1997,1,3,Colorado,9/25/1976,1997,2013,15.2,5.4,2.9
Dave Bing,Pistons,Detroit,Guard,21,6.3,180,1966,1,2,Syracuse,11/24/1943,1966,1977,20.3,6,3.8
Joe Binion,Trail Blazers,Portland,Forward,50,6.8,235,1984,3,57,North Carolina A&T,3/26/1961,1986,1986,1.3,0.1,1.6
Khem Birch,Magic,Orlando,Center,24,6.9,233,Undrafted,Undrafted,Undrafted,UNLV,9/28/1992,2017,Present,4.4,1,4.6
Jabari Bird,Celtics,Boston,Guard,26,6.6,198,2017,2,56,California,7/3/1994,2017,2017,3,0.6,1.5
Jerry Bird,Knicks,New York,Forward,7,6.6,210,1956,,,Kentucky,2/2/1935,1958,1958,2.3,0.4,1.1
Larry Bird,Celtics,Boston,Forward,33,6.9,220,1978,1,6,Indiana State,12/7/1956,1979,1991,24.3,6.3,10
Otis Birdsong,Nets,New Jersey,Guard,12,6.3,190,1977,1,2,Houston,12/9/1955,1977,1988,18,3.2,3
Gale Bishop,Warriors,Philadelphia,Forward,11,6.3,195,Undrafted,Undrafted,Undrafted,Washington State,6/4/1922,1948,1948,8.3,1.6,
Goga Bitadze,Pacers,Indiana,Center-Forward,88,6.1,250,2019,1,18, ,7/20/1999,2019,Present,3.2,0.4,2
Bismack Biyombo,Hornets,Charlotte,Center,8,6.8,255,2011,1,7, ,8/28/1992,2011,Present,7.4,0.9,5.8
Nemanja Bjelica,Kings,Sacramento,Forward,88,6.1,234,2010,2,35, ,5/9/1988,2015,Present,11.5,2.8,6.4
Uwe Blab,Mavericks,Dallas,Center,33,7.1,252,1985,1,17,Indiana,3/26/1962,1985,1989,2.1,0.4,1.8
Charlie Black,Pistons,Ft. Wayne Zollner,Forward,21,6.4,200,Undrafted,Undrafted,Undrafted,Kansas,6/15/1921,1948,1951,9.2,2.3,2.4
Norman Black,Pistons,Detroit,Guard,,6.5,185,Undrafted,Undrafted,Undrafted,Saint Joseph's,11/12/1957,1980,1980,2.7,0.7,0.7
Tarik Black,Lakers,Los Angeles,Forward-Center,28,6.9,250,Undrafted,Undrafted,Undrafted,Kansas,11/22/1991,2014,2017,4.9,0.5,4.7
Tom Black,SuperSonics,Seattle,Center,24,6.1,220,1964,9,72,South Dakota State,7/9/1941,1970,1970,4.2,0.6,3.6
Rolando Blackman,Mavericks,Dallas,Guard,22,6.6,190,1981,1,9,Kansas State,2/26/1959,1981,1993,18,3,3.3
Alex Blackwell,Lakers,Los Angeles,Forward,30,6.6,250,Undrafted,Undrafted,Undrafted,Monmouth,6/27/1970,1992,1992,1.3,0.3,0.9
Cory Blackwell,SuperSonics,Seattle,Forward,30,6.6,210,1984,2,28,Wisconsin,3/27/1963,1984,1984,3.4,0.4,1.6
James Blackwell,Celtics,Boston,Guard,8,6,190,Undrafted,Undrafted,Undrafted,Dartmouth,2/25/1968,1994,1994,1.4,0.8,0.8
Nate Blackwell,Spurs,San Antonio,Guard,3,6.4,170,1987,2,27,Temple,2/15/1965,1987,1987,3.7,1.8,0.6
DeJuan Blair,,,,,,,2009,2,37,Pittsburgh,4/22/1989,2009,2015,6.8,0.8,5.1
Steve Blake,Trail Blazers,Portland,Guard,22,6.3,172,2003,2,38,Maryland,2/26/1980,2003,2015,6.5,4,2.1
Marqus Blakely,Rockets,Houston,Forward,15,6.5,225,Undrafted,Undrafted,Undrafted,Vermont,10/22/1988,2010,2010,,,
Antonio Blakeney,Bulls,Chicago,Guard,9,6.4,192,Undrafted,Undrafted,Undrafted,Louisiana State,10/4/1996,2017,2018,7.5,0.8,1.8
Will Blalock,Pistons,Detroit,Guard,8,6,205,2006,2,60,Iowa State,9/8/1983,2006,2006,1.8,1.2,1.1
George Blaney,Knicks,New York,Guard,15,6.1,175,1961,4,33,Holy Cross,11/12/1939,1961,1961,3.3,1.3,1
Lance Blanks,Pistons,Detroit,Guard,21,6.4,190,1990,1,26,Texas,9/9/1966,1990,1992,2,0.8,0.8
Ricky Blanton,Bulls,Chicago,Forward,17,6.7,215,1989,2,46,Louisiana State,4/21/1966,1992,1992,3,0.5,1.5
Andray Blatche,Wizards,Washington,Center-Forward,0,6.1,260,2005,2,49,South Kent School,8/22/1986,2005,2013,10.1,1.4,5.4
Mookie Blaylock,,,,,,,1989,1,12,Oklahoma,3/20/1967,1989,2001,13.5,6.7,4.1
Eric Bledsoe,Bucks,Milwaukee,Guard,6,6.1,214,2010,1,18,Kentucky,12/9/1989,2010,Present,14.9,5.4,4.6
Leon Blevins,Olympians,Indianapolis,Guard,,6.2,160,1950,7,,Arizona,6/25/1926,1950,1950,0.7,0.3,0.7
John Block,Rockets,San Diego,Forward,35,6.1,207,1966,3,27,Southern California,4/16/1944,1966,1975,11.9,1.3,6.6
Mike Bloom,Bullets,Baltimore,Center,11,6.6,190,Undrafted,Undrafted,Undrafted,Temple,1/14/1915,1947,1948,6.8,0.8,
Jaron Blossomgame,Cavaliers,Cleveland,Forward,4,6.8,220,2017,2,59,Clemson,9/16/1993,2018,2018,4.2,0.5,3.6
Corie Blount,Bulls,Chicago,Forward-Center,44,6.1,242,1993,1,25,Cincinnati,1/4/1969,1993,2003,3.6,0.7,4.2
Mark Blount,Celtics,Boston,Center-Forward,15,7,250,1997,2,54,Pittsburgh,11/30/1975,2000,2008,8.2,0.8,4.6
Vander Blue,,,,,,,Undrafted,Undrafted,Undrafted,Marquette,7/17/1992,2013,2017,3,1.2,1.3
Trevon Bluiett,Pelicans,New Orleans,Guard-Forward,5,6.6,198,Undrafted,Undrafted,Undrafted,Xavier,11/4/1994,2018,2018,,,
Ray Blume,Bulls,Chicago,Guard,22,6.4,185,1981,2,36,Oregon State,9/23/1958,1981,1981,4.6,1.4,0.8
Nelson Bobb,Warriors,Philadelphia,Guard,5,6,170,1949,3,,Temple,2/25/1924,1949,1952,4.6,2.1,2.4
Tony Bobbitt,,,,,,,Undrafted,Undrafted,Undrafted,Cincinnati,10/22/1979,2004,2004,2.5,0,1.5
Arlen Bockhorn,Royals,Cincinnati,Guard,11,6.4,200,1958,3,17,Dayton,7/8/1933,1958,1964,11.5,3.5,4.7
Tom Boerwinkle,Bulls,Chicago,Center,18,7,265,1968,1,4,Tennessee,8/23/1945,1968,1977,7.2,3.2,9
Keith Bogans,Magic,Orlando,Guard-Forward,4,6.5,215,2003,2,43,Kentucky,5/12/1980,2003,2013,6.3,1.3,2.7
Bogdan Bogdanovic,Kings,Sacramento,Guard,8,6.6,220,2014,1,27, ,8/18/1992,2017,Present,15.1,3.4,3.4
Bojan Bogdanovic,Jazz,Utah,Forward,44,6.8,226,2011,2,31, ,4/18/1989,2014,Present,20.2,2.1,4.1
Muggsy Bogues,,,,,,,1987,1,12,Wake Forest,1/9/1965,1987,2000,7.7,7.6,2.6
Andrew Bogut,Bucks,Milwaukee,Center,12,7,260,2005,1,1,Utah,11/28/1984,2005,2018,9.6,2.2,8.7
Etdrick Bohannon,,,,,,,Undrafted,Undrafted,Undrafted,Auburn-Montgomery,5/29/1973,1997,2000,1.4,0.2,1.7
Bol Bol,Nuggets,Denver,Center-Forward,10,7.2,220,2019,2,44,Oregon,11/16/1999,2019,Present,5.7,0.9,2.7
Manute Bol,Bullets,Washington,Center,1,7.6,200,1985,2,31,Bridgeport,10/16/1962,1985,1994,2.6,0.3,4.2
Jonah Bolden,,,,,,,2017,2,36,UCLA,1/2/1996,2018,Present,1.4,0,1.3
Bill Bolger,Bullets,Baltimore,Forward,,6.5,205,1953,,,Georgetown,8/21/1931,1953,1953,2.8,0.6,1.8
Joel Bolomboy,,,,,,,2016,2,52,Weber State,1/28/1994,2016,2017,1.7,0.1,1.5
Doug Bolstorff,Pistons,Detroit,Guard,8,6.4,195,1957,8,57,Minnesota,10/29/1931,1957,1957,1.3,0,0
George H. Bon Salle,Packers,Chicago,Forward,33,6.8,220,1957,1,7,Illinois,7/1/1935,1961,1961,1.3,0,0.7
Phil Bond,Rockets,Houston,Guard,30,6.2,175,1977,3,62,Louisville,7/27/1954,1977,1977,0.6,0.3,0.6
Walter Bond,Jazz,Utah,Guard,20,6.5,200,Undrafted,Undrafted,Undrafted,Minnesota,2/1/1969,1992,1994,5.7,1.2,1.9
Jordan Bone,Pistons,Detroit,Guard,18,6.3,180,2019,2,57,Tennessee,11/5/1997,2019,Present,1.2,0.8,0.4
Dexter Boney,,,,,,,Undrafted,Undrafted,Undrafted,Nevada-Las Vegas,4/27/1970,1996,1996,2.4,0,0.8
Isaac Bonga,Wizards,Washington,Guard,17,6.8,180,2018,2,39, ,11/8/1999,2018,Present,5,1.2,3.4
Ron Bonham,Celtics,Boston,Forward,21,6.4,192,1964,2,16,Cincinnati,5/31/1942,1964,1965,6.3,0.4,1.5
Anthony Bonner,Kings,Sacramento,Forward,33,6.8,230,1990,1,23,Saint Louis,6/8/1968,1990,2002,6.9,1.4,5.4
Matt Bonner,Spurs,San Antonio,Center-Forward,15,6.1,235,2003,2,45,Florida,4/5/1980,2004,2015,5.8,0.7,3
Devin Booker,Suns,Phoenix,Guard,1,6.5,206,2015,1,13,Kentucky,10/30/1996,2015,Present,26.6,6.5,4.2
Melvin Booker,Warriors,Golden State,Guard,5,6.2,185,Undrafted,Undrafted,Undrafted,Missouri,8/20/1972,1995,1996,5.2,2.3,1.2
Trevor Booker,Wizards,Washington,Forward,20,6.8,228,2010,1,23,Clemson,11/25/1987,2010,2017,6.9,1.1,5.5
Josh Boone,Nets,New Jersey,Forward-Center,2,6.1,240,2006,1,23,Connecticut,11/21/1984,2006,2009,5.2,0.5,4.9
Ron Boone,Kings,Kansas City,Guard,24,6.2,200,1968,11,147,Idaho State,9/6/1946,1976,1980,13.9,3.4,2.8
Calvin Booth,SuperSonics,Seattle,Center,52,6.1,230,1999,2,35,Penn State,5/7/1976,1999,2008,3.3,0.4,2.8
Keith Booth,Bulls,Chicago,Forward,22,6.6,226,1997,1,28,Maryland,10/9/1974,1997,1998,2.9,0.9,2.2
Bob Boozer,Royals,Cincinnati,Forward,20,6.8,215,1959,1,1,Kansas State,4/26/1937,1960,1970,14.8,1.4,8.1
Carlos Boozer,Jazz,Utah,Forward,5,6.9,258,2002,2,34,Duke,11/20/1981,2002,2014,16.2,2.2,9.5
Curtis Borchardt,Jazz,Utah,Center,22,7,242,2002,1,18,Stanford,9/13/1980,2002,2004,3.1,0.8,3.3
Jake Bornheimer,Warriors,Philadelphia,Forward,15,6.5,200,Undrafted,Undrafted,Undrafted,Muhlenberg,6/29/1927,1948,1949,4.6,0.7,
Lazaro Borrell,SuperSonics,Seattle,Forward,11,6.8,220,Undrafted,Undrafted,Undrafted,Cuba,9/20/1972,1999,1999,3.6,0.6,2.4
Costic Borsavage,Warriors,Philadelphia,Center,19,6.8,220,1950,5,,Temple,7/25/1924,1950,1950,2.7,0.2,1
Vince Boryla,Knicks,New York,Forward,12,6.5,210,Undrafted,Undrafted,Undrafted,Denver,3/11/1927,1949,1953,11.2,2.1,3.7
Chris Bosh,Heat,Miami,Forward,1,6.1,235,2003,1,4,Georgia Tech,3/24/1984,2003,2016,19.2,2,8.5
Jim Bostic,Pistons,Detroit,Forward,32,6.7,225,1975,8,139,New Mexico State,1/28/1953,1977,1977,6.5,0.8,4
Lawrence Boston,Bullets,Washington,Forward,4,6.8,225,1978,4,81,Maryland,5/18/1956,1979,1979,4.3,0.2,3
Tom Boswell,Celtics,Boston,Forward,33,6.8,220,1975,1,17,South Carolina,10/2/1953,1975,1983,7.7,1.6,4.7
Chris Boucher,Raptors,Toronto,Forward-Center,25,6.9,200,Undrafted,Undrafted,Undrafted,Oregon,1/11/1993,2017,Present,6.6,0.4,4.5
Ruben Boumtje-Boumtje,Trail Blazers,Portland,Center,44,7,257,2001,2,49,Georgetown,5/20/1978,2001,2003,1,0.1,1.3
Don Boven,Pistons,Ft. Wayne Zollner,Forward,13,6.4,210,1949,6,,Western Michigan,3/6/1925,1949,1952,9,2,4.2
Cal Bowdler,Hawks,Atlanta,Forward,6,6.1,253,1999,1,17,Old Dominion,3/31/1977,1999,2001,3,0.2,1.9
Bruce Bowen,Spurs,San Antonio,Forward,12,6.7,200,Undrafted,Undrafted,Undrafted,Cal State-Fullerton,6/14/1971,1996,2008,6.1,1.2,2.8
Ryan Bowen,,,,,,,1998,2,55,Iowa,11/20/1975,1999,2009,2.6,0.5,2.1
Brian Bowen II,Pacers,Indiana,Forward-Guard,10,6.6,190,Undrafted,Undrafted,Undrafted, ,10/2/1998,2019,Present,1,0,1.2
